NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,0,N/S,202401310600,202401310100,202402071200
Wahkiakum County,0,N/S,202401310600,202401310100,202402071200
De Baca County,0,N/S,202401310600,202401310100,202402071200
Lancaster County,0,N/S,202401310600,202401310100,202402071200
Nuckolls County,0,N/S,202401310600,202401310100,202402071200
Las Piedras Municipio,0,N/S,202401310600,202401310100,202402071200
Minnehaha County,0,N/S,202401310600,202401310100,202402071200
Menard County,0,N/S,202401310600,202401310100,202402071200
Sierra County,0,N/S,202401310600,202401310100,202402071200
Clinton County,0,N/S,202401310600,202401310100,202402071200
Hancock County,0,N/S,202401310600,202401310100,202402071200
Hale County,0,N/S,202401310600,202401310100,202402071200
Clay County,0,N/S,202401310600,202401310100,202402071200
Armstrong County,0,N/S,202401310600,202401310100,202402071200
Allen County,0,N/S,202401310600,202401310100,202402071200
McDuffie County,0,N/S,202401310600,202401310100,202402071200
Sauk County,0,N/S,202401310600,202401310100,202402071200
Stone County,0,N/S,202401310600,202401310100,202402071200
Wallowa County,0,N/S,202401310600,202401310100,202402071200
Beaver County,0,N/S,202401310600,202401310100,202402071200
Jasper County,0,N/S,202401310600,202401310100,202402071200
Henry County,0,N/S,202401310600,202401310100,202402071200
Saguache County,0,N/S,202401310600,202401310100,202402071200
Chatham County,0,N/S,202401310600,202401310100,202402071200
Rich County,0,N/S,202401310600,202401310100,202402071200
Adair County,0,N/S,202401310600,202401310100,202402071200
Lake County,0,N/S,202401310600,202401310100,202402071200
Salem city,0,N/S,202401310600,202401310100,202402071200
Montgomery County,0,N/S,202401310600,202401310100,202402071200
Hamilton County,0,N/S,202401310600,202401310100,202402071200
Otero County,0,N/S,202401310600,202401310100,202402071200
Catron County,0,N/S,202401310600,202401310100,202402071200
Marengo County,0,N/S,202401310600,202401310100,202402071200
Lincoln County,0,N/S,202401310600,202401310100,202402071200
Barton County,0,N/S,202401310600,202401310100,202402071200
Calhoun County,0,N/S,202401310600,202401310100,202402071200
Poquoson city,0,N/S,202401310600,202401310100,202402071200
Pocahontas County,0,N/S,202401310600,202401310100,202402071200
Clay County,0,N/S,202401310600,202401310100,202402071200
James City County,0,N/S,202401310600,202401310100,202402071200
Keith County,0,N/S,202401310600,202401310100,202402071200
Phelps County,0,N/S,202401310600,202401310100,202402071200
Calcasieu Parish,0,N/S,202401310600,202401310100,202402071200
Union Parish,0,N/S,202401310600,202401310100,202402071200
Sequoyah County,0,N/S,202401310600,202401310100,202402071200
DeKalb County,0,N/S,202401310600,202401310100,202402071200
Steuben County,0,N/S,202401310600,202401310100,202402071200
Forest County,0,N/S,202401310600,202401310100,202402071200
Tangipahoa Parish,0,N/S,202401310600,202401310100,202402071200
Stafford County,0,N/S,202401310600,202401310100,202402071200
Menominee County,0,N/S,202401310600,202401310100,202402071200
Jasper County,0,N/S,202401310600,202401310100,202402071200
Brantley County,0,N/S,202401310600,202401310100,202402071200
Lamar County,0,N/S,202401310600,202401310100,202402071200
Steuben County,0,N/S,202401310600,202401310100,202402071200
Orange County,0,N/S,202401310600,202401310100,202402071200
Fayette County,0,N/S,202401310600,202401310100,202402071200
Hampshire County,0,N/S,202401310600,202401310100,202402071200
Allen County,0,N/S,202401310600,202401310100,202402071200
Alamance County,0,N/S,202401310600,202401310100,202402071200
Greenwood County,0,N/S,202401310600,202401310100,202402071200
Suffolk County,0,N/S,202401310600,202401310100,202402071200
Jefferson County,0,N/S,202401310600,202401310100,202402071200
Gonzales County,0,N/S,202401310600,202401310100,202402071200
Marion County,0,N/S,202401310600,202401310100,202402071200
Alpena County,0,N/S,202401310600,202401310100,202402071200
Wayne County,0,N/S,202401310600,202401310100,202402071200
White County,0,N/S,202401310600,202401310100,202402071200
Fannin County,0,N/S,202401310600,202401310100,202402071200
Doniphan County,0,N/S,202401310600,202401310100,202402071200
Kerr County,0,N/S,202401310600,202401310100,202402071200
Hernando County,0,N/S,202401310600,202401310100,202402071200
Wakulla County,0,N/S,202401310600,202401310100,202402071200
Walton County,0,N/S,202401310600,202401310100,202402071200
Chickasaw County,0,N/S,202401310600,202401310100,202402071200
Ketchikan Gateway Borough,0,N/S,202401310600,202401310100,202402071200
Clare County,0,N/S,202401310600,202401310100,202402071200
Republic County,0,N/S,202401310600,202401310100,202402071200
Volusia County,0,N/S,202401310600,202401310100,202402071200
Canadian County,0,N/S,202401310600,202401310100,202402071200
Quebradillas Municipio,0,N/S,202401310600,202401310100,202402071200
St. Thomas Island,0,N/S,202401310600,202401310100,202402071200
Floyd County,0,N/S,202401310600,202401310100,202402071200
Churchill County,0,N/S,202401310600,202401310100,202402071200
Webster County,0,N/S,202401310600,202401310100,202402071200
Hancock County,0,N/S,202401310600,202401310100,202402071200
Hutchinson County,0,N/S,202401310600,202401310100,202402071200
Crook County,0,N/S,202401310600,202401310100,202402071200
Franklin County,0,N/S,202401310600,202401310100,202402071200
Marquette County,0,N/S,202401310600,202401310100,202402071200
Davidson County,0,N/S,202401310600,202401310100,202402071200
Clay County,0,N/S,202401310600,202401310100,202402071200
Knox County,0,N/S,202401310600,202401310100,202402071200
Livingston County,0,N/S,202401310600,202401310100,202402071200
Tioga County,0,N/S,202401310600,202401310100,202402071200
Dakota County,0,N/S,202401310600,202401310100,202402071200
Leelanau County,0,N/S,202401310600,202401310100,202402071200
Surry County,0,N/S,202401310600,202401310100,202402071200
Refugio County,0,N/S,202401310600,202401310100,202402071200
Butler County,0,N/S,202401310600,202401310100,202402071200
Terrell County,0,N/S,202401310600,202401310100,202402071200
Clayton County,0,N/S,202401310600,202401310100,202402071200
Fremont County,0,N/S,202401310600,202401310100,202402071200
Ohio County,0,N/S,202401310600,202401310100,202402071200
Columbia County,0,N/S,202401310600,202401310100,202402071200
Sedgwick County,0,N/S,202401310600,202401310100,202402071200
Musselshell County,0,N/S,202401310600,202401310100,202402071200
Dauphin County,0,N/S,202401310600,202401310100,202402071200
Moody County,0,N/S,202401310600,202401310100,202402071200
Putnam County,0,N/S,202401310600,202401310100,202402071200
Sussex County,0,N/S,202401310600,202401310100,202402071200
Decatur County,0,N/S,202401310600,202401310100,202402071200
Perry County,0,N/S,202401310600,202401310100,202402071200
Union County,0,N/S,202401310600,202401310100,202402071200
Boyd County,0,N/S,202401310600,202401310100,202402071200
Mille Lacs County,0,N/S,202401310600,202401310100,202402071200
Walsh County,0,N/S,202401310600,202401310100,202402071200
Morgan County,0,N/S,202401310600,202401310100,202402071200
Portage County,0,N/S,202401310600,202401310100,202402071200
Uinta County,0,N/S,202401310600,202401310100,202402071200
Humboldt County,0,N/S,202401310600,202401310100,202402071200
Jim Hogg County,0,N/S,202401310600,202401310100,202402071200
Cheyenne County,0,N/S,202401310600,202401310100,202402071200
Clackamas County,0,N/S,202401310600,202401310100,202402071200
Polk County,0,N/S,202401310600,202401310100,202402071200
Macon County,0,N/S,202401310600,202401310100,202402071200
Benton County,0,N/S,202401310600,202401310100,202402071200
Morgan County,0,N/S,202401310600,202401310100,202402071200
Douglas County,0,N/S,202401310600,202401310100,202402071200
Worcester County,0,N/S,202401310600,202401310100,202402071200
Wabash County,0,N/S,202401310600,202401310100,202402071200
Huntington County,0,N/S,202401310600,202401310100,202402071200
Scott County,0,N/S,202401310600,202401310100,202402071200
Decatur County,0,N/S,202401310600,202401310100,202402071200
Wabash County,0,N/S,202401310600,202401310100,202402071200
Allen County,0,N/S,202401310600,202401310100,202402071200
Marshall County,0,N/S,202401310600,202401310100,202402071200
Thomas County,0,N/S,202401310600,202401310100,202402071200
Sioux County,0,N/S,202401310600,202401310100,202402071200
Dimmit County,0,N/S,202401310600,202401310100,202402071200
Fillmore County,0,N/S,202401310600,202401310100,202402071200
Chester County,0,N/S,202401310600,202401310100,202402071200
Lac qui Parle County,0,N/S,202401310600,202401310100,202402071200
Cache County,0,N/S,202401310600,202401310100,202402071200
Pierce County,0,N/S,202401310600,202401310100,202402071200
Charlton County,0,N/S,202401310600,202401310100,202402071200
Polk County,0,N/S,202401310600,202401310100,202402071200
McLean County,0,N/S,202401310600,202401310100,202402071200
Androscoggin County,0,N/S,202401310600,202401310100,202402071200
Kootenai County,0,N/S,202401310600,202401310100,202402071200
Clark County,0,N/S,202401310600,202401310100,202402071200
Phillips County,0,N/S,202401310600,202401310100,202402071200
Holt County,0,N/S,202401310600,202401310100,202402071200
Johnson County,0,N/S,202401310600,202401310100,202402071200
La Crosse County,0,N/S,202401310600,202401310100,202402071200
Caldwell Parish,0,N/S,202401310600,202401310100,202402071200
Edmonson County,0,N/S,202401310600,202401310100,202402071200
Bond County,0,N/S,202401310600,202401310100,202402071200
Brown County,0,N/S,202401310600,202401310100,202402071200
McLeod County,0,N/S,202401310600,202401310100,202402071200
Dunn County,0,N/S,202401310600,202401310100,202402071200
Custer County,0,N/S,202401310600,202401310100,202402071200
Madison County,0,N/S,202401310600,202401310100,202402071200
Nolan County,0,N/S,202401310600,202401310100,202402071200
Wayne County,0,N/S,202401310600,202401310100,202402071200
Saratoga County,0,N/S,202401310600,202401310100,202402071200
Brazos County,0,N/S,202401310600,202401310100,202402071200
Marshall County,0,N/S,202401310600,202401310100,202402071200
Allegany County,0,N/S,202401310600,202401310100,202402071200
Wetzel County,0,N/S,202401310600,202401310100,202402071200
Jackson County,0,N/S,202401310600,202401310100,202402071200
