NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Wahkiakum County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
De Baca County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Lancaster County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Nuckolls County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Las Piedras Municipio,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Minnehaha County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Menard County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Sierra County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Clinton County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Hancock County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Hale County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Clay County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Armstrong County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Allen County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
McDuffie County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Sauk County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Stone County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Wallowa County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Beaver County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Jasper County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Henry County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Saguache County,2,MINOR,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Chatham County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Rich County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Adair County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Lake County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Salem city,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Montgomery County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Hamilton County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Otero County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Catron County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Marengo County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Lincoln County,2,MINOR,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Barton County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Calhoun County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Poquoson city,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Pocahontas County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Clay County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
James City County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Keith County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Phelps County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Calcasieu Parish,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Union Parish,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Sequoyah County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
DeKalb County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Steuben County,2,MINOR,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Forest County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Tangipahoa Parish,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Stafford County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Menominee County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Jasper County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Brantley County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Lamar County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Steuben County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Orange County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Fayette County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Hampshire County,2,MINOR,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Allen County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Alamance County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Greenwood County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Suffolk County,2,MINOR,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Jefferson County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Gonzales County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Marion County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Alpena County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Wayne County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
White County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Fannin County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Doniphan County,1,LIMITED,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Kerr County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Hernando County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Wakulla County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
Walton County,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
