NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Wahkiakum County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
De Baca County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Lancaster County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Nuckolls County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Las Piedras Municipio,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Minnehaha County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Menard County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Sierra County,4,MAJOR,202401310600,00Z 01/31/24,00Z 02/03/24
Clinton County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Hancock County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Hale County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Clay County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Armstrong County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Allen County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
McDuffie County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Sauk County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Stone County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Wallowa County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Beaver County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Jasper County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Henry County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Saguache County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Chatham County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Rich County,2,MINOR,202401310600,00Z 01/31/24,00Z 02/03/24
Adair County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Lake County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Salem city,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Montgomery County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Hamilton County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Otero County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Catron County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Marengo County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Lincoln County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Barton County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Calhoun County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Poquoson city,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Pocahontas County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Clay County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
James City County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Keith County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Phelps County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Calcasieu Parish,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Union Parish,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Sequoyah County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
DeKalb County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
Steuben County,1,LIMITED,202401310600,00Z 01/31/24,00Z 02/03/24
Forest County,0,N/S,202401310600,00Z 01/31/24,00Z 02/03/24
