NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,MODERATE,3.0
Sierra County,CA,EXTREME,5.0
Wallowa County,OR,LIMITED,1.0
Saguache County,CO,MODERATE,3.0
Rich County,UT,MINOR,2.0
Lincoln County,WY,MINOR,2.0
Menominee County,MI,LIMITED,1.0
Jefferson County,ID,MINOR,2.0
Churchill County,NV,MINOR,2.0
Crook County,OR,MINOR,2.0
Marquette County,MI,LIMITED,1.0
Fremont County,WY,MINOR,2.0
Musselshell County,MT,MINOR,2.0
Walsh County,ND,MINOR,2.0
Uinta County,WY,MINOR,2.0
Humboldt County,NV,MINOR,2.0
Clackamas County,OR,MODERATE,3.0
Sioux County,ND,MODERATE,3.0
Cache County,UT,MODERATE,3.0
Kootenai County,ID,MINOR,2.0
Custer County,CO,MINOR,2.0
Clatsop County,OR,MINOR,2.0
Lewis County,WA,MODERATE,3.0
Chouteau County,MT,MINOR,2.0
Gem County,ID,MINOR,2.0
Meagher County,MT,MINOR,2.0
La Plata County,CO,MINOR,2.0
Klamath County,OR,MODERATE,3.0
Rosebud County,MT,LIMITED,1.0
Morrow County,OR,LIMITED,1.0
San Juan County,CO,MODERATE,3.0
Franklin County,ID,MINOR,2.0
Madison County,ID,MINOR,2.0
Sweet Grass County,MT,MINOR,2.0
Clark County,ID,MINOR,2.0
Burke County,ND,MINOR,2.0
Lewis and Clark County,MT,LIMITED,1.0
Duchesne County,UT,MODERATE,3.0
Jackson County,OR,MAJOR,4.0
Banner County,NE,LIMITED,1.0
Ramsey County,ND,MODERATE,3.0
Jerome County,ID,MINOR,2.0
Custer County,ID,MINOR,2.0
Multnomah County,OR,MINOR,2.0
Baker County,OR,MINOR,2.0
Pitkin County,CO,MAJOR,4.0
Grand Forks County,ND,MINOR,2.0
Park County,CO,MINOR,2.0
Alamosa County,CO,LIMITED,1.0
Mercer County,ND,MINOR,2.0
Pondera County,MT,LIMITED,1.0
Mineral County,NV,MINOR,2.0
Barnes County,ND,LIMITED,1.0
Bonneville County,ID,MINOR,2.0
Garfield County,MT,MINOR,2.0
Moffat County,CO,MODERATE,3.0
Burleigh County,ND,MINOR,2.0
Iron County,MI,LIMITED,1.0
Lawrence County,SD,LIMITED,1.0
Benton County,OR,MINOR,2.0
Baraga County,MI,LIMITED,1.0
Jefferson County,CO,LIMITED,1.0
Summit County,CO,MODERATE,3.0
Big Horn County,WY,LIMITED,1.0
Ward County,ND,MINOR,2.0
Bottineau County,ND,MINOR,2.0
Hot Springs County,WY,LIMITED,1.0
Placer County,CA,EXTREME,5.0
Idaho County,ID,MINOR,2.0
Davis County,UT,MINOR,2.0
Teton County,ID,MINOR,2.0
Power County,ID,MINOR,2.0
Washakie County,WY,LIMITED,1.0
Koochiching County,MN,LIMITED,1.0
Boulder County,CO,MINOR,2.0
Blaine County,ID,MINOR,2.0
Denver County,CO,LIMITED,1.0
Carter County,MT,LIMITED,1.0
Kimball County,NE,LIMITED,1.0
Montrose County,CO,MAJOR,4.0
Eagle County,CO,MODERATE,3.0
San Miguel County,CO,MODERATE,3.0
Box Elder County,UT,MINOR,2.0
Elmore County,ID,MODERATE,3.0
Benson County,ND,MODERATE,3.0
Costilla County,CO,LIMITED,1.0
Mariposa County,CA,MINOR,2.0
Marion County,OR,MODERATE,3.0
Broomfield County,CO,LIMITED,1.0
Benewah County,ID,MINOR,2.0
Lassen County,CA,MINOR,2.0
Chaffee County,CO,MODERATE,3.0
Fremont County,CO,LIMITED,1.0
Stark County,ND,MINOR,2.0
Nye County,NV,LIMITED,1.0
Bowman County,ND,MODERATE,3.0
Nez Perce County,ID,LIMITED,1.0
Logan County,ND,LIMITED,1.0
Gogebic County,MI,LIMITED,1.0
Emmons County,ND,LIMITED,1.0
Shasta County,CA,MODERATE,3.0
Oneida County,WI,LIMITED,1.0
Gallatin County,MT,MINOR,2.0
Norman County,MN,LIMITED,1.0
Marshall County,MN,MINOR,2.0
Huerfano County,CO,LIMITED,1.0
Millard County,UT,MODERATE,3.0
Morgan County,UT,MINOR,2.0
Liberty County,MT,LIMITED,1.0
Grant County,OR,MINOR,2.0
Coos County,OR,MINOR,2.0
Sheridan County,ND,MINOR,2.0
Jefferson County,WA,MINOR,2.0
Linn County,OR,MAJOR,4.0
Lake County,OR,MINOR,2.0
Traill County,ND,MINOR,2.0
Beltrami County,MN,LIMITED,1.0
McHenry County,ND,MINOR,2.0
Butte County,ID,MINOR,2.0
Kidder County,ND,MINOR,2.0
Delta County,CO,MODERATE,3.0
Weber County,UT,MODERATE,3.0
Nelson County,ND,MINOR,2.0
Garfield County,CO,MODERATE,3.0
Trinity County,CA,MAJOR,4.0
Mendocino County,CA,MINOR,2.0
Sweetwater County,WY,MINOR,2.0
Crook County,WY,LIMITED,1.0
Wheeler County,OR,MINOR,2.0
Douglas County,NV,MODERATE,3.0
White Pine County,NV,MINOR,2.0
Steele County,ND,MINOR,2.0
Rio Blanco County,CO,MODERATE,3.0
Malheur County,OR,MINOR,2.0
Adams County,ID,MODERATE,3.0
Wells County,ND,MINOR,2.0
Mono County,CA,MODERATE,3.0
Tuolumne County,CA,EXTREME,5.0
Griggs County,ND,MINOR,2.0
Slope County,ND,MINOR,2.0
Carson City,NV,MODERATE,3.0
Carbon County,WY,MODERATE,3.0
Silver Bow County,MT,LIMITED,1.0
Divide County,ND,MINOR,2.0
Montezuma County,CO,LIMITED,1.0
Valley County,ID,MINOR,2.0
Tillamook County,OR,MODERATE,3.0
McIntosh County,ND,LIMITED,1.0
Columbia County,WA,MINOR,2.0
Minidoka County,ID,MINOR,2.0
Lane County,OR,MODERATE,3.0
Cascade County,MT,LIMITED,1.0
Flathead County,MT,MINOR,2.0
Kittitas County,WA,MINOR,2.0
Kane County,UT,LIMITED,1.0
Union County,OR,MINOR,2.0
Adams County,ND,MINOR,2.0
Adams County,CO,LIMITED,1.0
Mineral County,CO,MODERATE,3.0
Snohomish County,WA,MODERATE,3.0
Yakima County,WA,MINOR,2.0
Alpine County,CA,MAJOR,4.0
Okanogan County,WA,LIMITED,1.0
Spokane County,WA,MINOR,2.0
Clallam County,WA,LIMITED,1.0
Stevens County,WA,MINOR,2.0
El Dorado County,CA,EXTREME,5.0
Douglas County,OR,MODERATE,3.0
Cavalier County,ND,MINOR,2.0
Bonner County,ID,MINOR,2.0
Salt Lake County,UT,MINOR,2.0
Lake of the Woods County,MN,LIMITED,1.0
Bingham County,ID,MINOR,2.0
Sevier County,UT,MAJOR,4.0
Williams County,ND,MINOR,2.0
Cass County,ND,LIMITED,1.0
Garfield County,UT,MODERATE,3.0
Eureka County,NV,MODERATE,3.0
Fergus County,MT,MODERATE,3.0
Custer County,SD,LIMITED,1.0
Billings County,ND,MINOR,2.0
Ouray County,CO,MODERATE,3.0
Broadwater County,MT,MINOR,2.0
Columbia County,OR,MINOR,2.0
Mountrail County,ND,MINOR,2.0
