NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,NE,0,N/S,202402150600,202402150100,202402221200
Wahkiakum County,WA,0,N/S,202402150600,202402150100,202402221200
De Baca County,NM,0,N/S,202402150600,202402150100,202402221200
Lancaster County,NE,0,N/S,202402150600,202402150100,202402221200
Nuckolls County,NE,0,N/S,202402150600,202402150100,202402221200
Las Piedras Municipio,PR,0,N/S,202402150600,202402150100,202402221200
Minnehaha County,SD,0,N/S,202402150600,202402150100,202402221200
Menard County,TX,0,N/S,202402150600,202402150100,202402221200
Sierra County,CA,0,N/S,202402150600,202402150100,202402221200
Clinton County,KY,0,N/S,202402150600,202402150100,202402221200
Hancock County,OH,0,N/S,202402150600,202402150100,202402221200
Hale County,TX,0,N/S,202402150600,202402150100,202402221200
Clay County,AL,0,N/S,202402150600,202402150100,202402221200
Armstrong County,TX,0,N/S,202402150600,202402150100,202402221200
Allen County,OH,0,N/S,202402150600,202402150100,202402221200
McDuffie County,GA,0,N/S,202402150600,202402150100,202402221200
Sauk County,WI,0,N/S,202402150600,202402150100,202402221200
Stone County,AR,1,TSTM,202402150600,202402150100,202402221200
Wallowa County,OR,0,N/S,202402150600,202402150100,202402221200
Beaver County,PA,0,N/S,202402150600,202402150100,202402221200
Jasper County,MS,0,N/S,202402150600,202402150100,202402221200
Henry County,MO,1,TSTM,202402150600,202402150100,202402221200
Saguache County,CO,0,N/S,202402150600,202402150100,202402221200
Chatham County,NC,0,N/S,202402150600,202402150100,202402221200
Rich County,UT,0,N/S,202402150600,202402150100,202402221200
Adair County,OK,0,N/S,202402150600,202402150100,202402221200
Lake County,OH,0,N/S,202402150600,202402150100,202402221200
Salem city,VA,0,N/S,202402150600,202402150100,202402221200
Montgomery County,VA,0,N/S,202402150600,202402150100,202402221200
Hamilton County,TN,0,N/S,202402150600,202402150100,202402221200
Otero County,NM,0,N/S,202402150600,202402150100,202402221200
Catron County,NM,0,N/S,202402150600,202402150100,202402221200
Marengo County,AL,0,N/S,202402150600,202402150100,202402221200
Lincoln County,WY,0,N/S,202402150600,202402150100,202402221200
Barton County,MO,0,N/S,202402150600,202402150100,202402221200
Calhoun County,TX,0,N/S,202402150600,202402150100,202402221200
Poquoson city,VA,0,N/S,202402150600,202402150100,202402221200
Pocahontas County,WV,0,N/S,202402150600,202402150100,202402221200
Clay County,TX,0,N/S,202402150600,202402150100,202402221200
James City County,VA,0,N/S,202402150600,202402150100,202402221200
Keith County,NE,0,N/S,202402150600,202402150100,202402221200
Phelps County,NE,0,N/S,202402150600,202402150100,202402221200
Calcasieu Parish,LA,0,N/S,202402150600,202402150100,202402221200
Union Parish,LA,1,TSTM,202402150600,202402150100,202402221200
Sequoyah County,OK,0,N/S,202402150600,202402150100,202402221200
DeKalb County,AL,0,N/S,202402150600,202402150100,202402221200
Steuben County,NY,0,N/S,202402150600,202402150100,202402221200
Forest County,PA,0,N/S,202402150600,202402150100,202402221200
Tangipahoa Parish,LA,0,N/S,202402150600,202402150100,202402221200
Stafford County,VA,0,N/S,202402150600,202402150100,202402221200
Menominee County,MI,0,N/S,202402150600,202402150100,202402221200
Jasper County,IN,0,N/S,202402150600,202402150100,202402221200
Brantley County,GA,0,N/S,202402150600,202402150100,202402221200
Lamar County,GA,0,N/S,202402150600,202402150100,202402221200
Steuben County,IN,0,N/S,202402150600,202402150100,202402221200
Orange County,TX,0,N/S,202402150600,202402150100,202402221200
Fayette County,OH,0,N/S,202402150600,202402150100,202402221200
Hampshire County,MA,0,N/S,202402150600,202402150100,202402221200
Allen County,KY,0,N/S,202402150600,202402150100,202402221200
Alamance County,NC,0,N/S,202402150600,202402150100,202402221200
Greenwood County,KS,0,N/S,202402150600,202402150100,202402221200
Suffolk County,MA,0,N/S,202402150600,202402150100,202402221200
Jefferson County,ID,0,N/S,202402150600,202402150100,202402221200
Gonzales County,TX,0,N/S,202402150600,202402150100,202402221200
Marion County,TN,0,N/S,202402150600,202402150100,202402221200
Alpena County,MI,0,N/S,202402150600,202402150100,202402221200
Wayne County,KY,0,N/S,202402150600,202402150100,202402221200
White County,TN,0,N/S,202402150600,202402150100,202402221200
Fannin County,TX,1,TSTM,202402150600,202402150100,202402221200
Doniphan County,KS,0,N/S,202402150600,202402150100,202402221200
Kerr County,TX,0,N/S,202402150600,202402150100,202402221200
