NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Cuming County,2,MRGL,202303311200,202303310100,202304031200
Wahkiakum County,1,TSTM,202303311200,202303310100,202304031200
De Baca County,0,N/S,202303311200,202303310100,202304031200
Lancaster County,1,TSTM,202303311200,202303310100,202304031200
Nuckolls County,1,TSTM,202303311200,202303310100,202304031200
Las Piedras Municipio,0,N/S,202303311200,202303310100,202304031200
Minnehaha County,2,MRGL,202303311200,202303310100,202304031200
Menard County,1,TSTM,202303311200,202303310100,202304031200
Sierra County,1,TSTM,202303311200,202303310100,202304031200
Clinton County,0,N/S,202303311200,202303310100,202304031200
Hancock County,0,N/S,202303311200,202303310100,202304031200
Hale County,0,N/S,202303311200,202303310100,202304031200
Clay County,0,N/S,202303311200,202303310100,202304031200
Armstrong County,0,N/S,202303311200,202303310100,202304031200
Allen County,1,TSTM,202303311200,202303310100,202304031200
McDuffie County,1,TSTM,202303311200,202303310100,202304031200
Sauk County,1,TSTM,202303311200,202303310100,202304031200
Stone County,1,TSTM,202303311200,202303310100,202304031200
Wallowa County,1,TSTM,202303311200,202303310100,202304031200
Beaver County,3,SLGT,202303311200,202303310100,202304031200
Jasper County,1,TSTM,202303311200,202303310100,202304031200
Henry County,1,TSTM,202303311200,202303310100,202304031200
Saguache County,0,N/S,202303311200,202303310100,202304031200
Chatham County,2,MRGL,202303311200,202303310100,202304031200
Rich County,0,N/S,202303311200,202303310100,202304031200
Adair County,2,MRGL,202303311200,202303310100,202304031200
Lake County,1,TSTM,202303311200,202303310100,202304031200
Salem city,0,N/S,202303311200,202303310100,202304031200
Montgomery County,0,N/S,202303311200,202303310100,202304031200
Hamilton County,0,N/S,202303311200,202303310100,202304031200
Otero County,0,N/S,202303311200,202303310100,202304031200
Catron County,0,N/S,202303311200,202303310100,202304031200
Marengo County,1,TSTM,202303311200,202303310100,202304031200
Lincoln County,0,N/S,202303311200,202303310100,202304031200
Barton County,1,TSTM,202303311200,202303310100,202304031200
Calhoun County,0,N/S,202303311200,202303310100,202304031200
Poquoson city,2,MRGL,202303311200,202303310100,202304031200
Pocahontas County,0,N/S,202303311200,202303310100,202304031200
Clay County,1,TSTM,202303311200,202303310100,202304031200
James City County,1,TSTM,202303311200,202303310100,202304031200
Keith County,1,TSTM,202303311200,202303310100,202304031200
Phelps County,0,N/S,202303311200,202303310100,202304031200
Calcasieu Parish,1,TSTM,202303311200,202303310100,202304031200
Union Parish,1,TSTM,202303311200,202303310100,202304031200
Sequoyah County,2,MRGL,202303311200,202303310100,202304031200
DeKalb County,0,N/S,202303311200,202303310100,202304031200
Steuben County,3,SLGT,202303311200,202303310100,202304031200
Forest County,3,SLGT,202303311200,202303310100,202304031200
Tangipahoa Parish,1,TSTM,202303311200,202303310100,202304031200
Stafford County,1,TSTM,202303311200,202303310100,202304031200
Menominee County,1,TSTM,202303311200,202303310100,202304031200
Jasper County,1,TSTM,202303311200,202303310100,202304031200
Brantley County,2,MRGL,202303311200,202303310100,202304031200
Lamar County,1,TSTM,202303311200,202303310100,202304031200
Steuben County,1,TSTM,202303311200,202303310100,202304031200
Orange County,1,TSTM,202303311200,202303310100,202304031200
Fayette County,0,N/S,202303311200,202303310100,202304031200
Hampshire County,2,MRGL,202303311200,202303310100,202304031200
Allen County,0,N/S,202303311200,202303310100,202304031200
Alamance County,1,TSTM,202303311200,202303310100,202304031200
Greenwood County,1,TSTM,202303311200,202303310100,202304031200
Suffolk County,2,MRGL,202303311200,202303310100,202304031200
Jefferson County,0,N/S,202303311200,202303310100,202304031200
Gonzales County,1,TSTM,202303311200,202303310100,202304031200
Marion County,0,N/S,202303311200,202303310100,202304031200
Alpena County,1,TSTM,202303311200,202303310100,202304031200
Wayne County,0,N/S,202303311200,202303310100,202304031200
White County,0,N/S,202303311200,202303310100,202304031200
Fannin County,2,MRGL,202303311200,202303310100,202304031200
Doniphan County,1,TSTM,202303311200,202303310100,202304031200
Kerr County,1,TSTM,202303311200,202303310100,202304031200
Hernando County,0,N/S,202303311200,202303310100,202304031200
Wakulla County,1,TSTM,202303311200,202303310100,202304031200
Walton County,1,TSTM,202303311200,202303310100,202304031200
Chickasaw County,1,TSTM,202303311200,202303310100,202304031200
Ketchikan Gateway Borough,0,N/S,202303311200,202303310100,202304031200
Clare County,1,TSTM,202303311200,202303310100,202304031200
Republic County,1,TSTM,202303311200,202303310100,202304031200
Volusia County,0,N/S,202303311200,202303310100,202304031200
Canadian County,1,TSTM,202303311200,202303310100,202304031200
Quebradillas Municipio,0,N/S,202303311200,202303310100,202304031200
St. Thomas Island,0,N/S,202303311200,202303310100,202304031200
Floyd County,0,N/S,202303311200,202303310100,202304031200
Churchill County,0,N/S,202303311200,202303310100,202304031200
Webster County,0,N/S,202303311200,202303310100,202304031200
Hancock County,1,TSTM,202303311200,202303310100,202304031200
Hutchinson County,2,MRGL,202303311200,202303310100,202304031200
Crook County,1,TSTM,202303311200,202303310100,202304031200
Franklin County,1,TSTM,202303311200,202303310100,202304031200
Marquette County,0,N/S,202303311200,202303310100,202304031200
Davidson County,1,TSTM,202303311200,202303310100,202304031200
Clay County,1,TSTM,202303311200,202303310100,202304031200
Knox County,1,TSTM,202303311200,202303310100,202304031200
Livingston County,1,TSTM,202303311200,202303310100,202304031200
Tioga County,3,SLGT,202303311200,202303310100,202304031200
Dakota County,2,MRGL,202303311200,202303310100,202304031200
Leelanau County,1,TSTM,202303311200,202303310100,202304031200
Surry County,1,TSTM,202303311200,202303310100,202304031200
Refugio County,0,N/S,202303311200,202303310100,202304031200
Butler County,0,N/S,202303311200,202303310100,202304031200
Terrell County,2,MRGL,202303311200,202303310100,202304031200
Clayton County,1,TSTM,202303311200,202303310100,202304031200
Fremont County,0,N/S,202303311200,202303310100,202304031200
Ohio County,0,N/S,202303311200,202303310100,202304031200
Columbia County,1,TSTM,202303311200,202303310100,202304031200
Sedgwick County,0,N/S,202303311200,202303310100,202304031200
Musselshell County,1,TSTM,202303311200,202303310100,202304031200
Dauphin County,3,SLGT,202303311200,202303310100,202304031200
Moody County,2,MRGL,202303311200,202303310100,202304031200
