NAMELSAD,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Mille Lacs County,0,N/S,202401290600,202401291200,202402051200
Walsh County,0,N/S,202401290600,202401291200,202402051200
Morgan County,0,N/S,202401290600,202401291200,202402051200
Portage County,0,N/S,202401290600,202401291200,202402051200
Uinta County,0,N/S,202401290600,202401291200,202402051200
Humboldt County,0,N/S,202401290600,202401291200,202402051200
Jim Hogg County,0,N/S,202401290600,202401291200,202402051200
Cheyenne County,0,N/S,202401290600,202401291200,202402051200
Clackamas County,0,N/S,202401290600,202401291200,202402051200
Polk County,0,N/S,202401290600,202401291200,202402051200
Macon County,0,N/S,202401290600,202401291200,202402051200
Benton County,0,N/S,202401290600,202401291200,202402051200
Morgan County,0,N/S,202401290600,202401291200,202402051200
Douglas County,0,N/S,202401290600,202401291200,202402051200
Worcester County,0,N/S,202401290600,202401291200,202402051200
Wabash County,0,N/S,202401290600,202401291200,202402051200
Huntington County,0,N/S,202401290600,202401291200,202402051200
Scott County,0,N/S,202401290600,202401291200,202402051200
Decatur County,0,N/S,202401290600,202401291200,202402051200
Wabash County,0,N/S,202401290600,202401291200,202402051200
Allen County,0,N/S,202401290600,202401291200,202402051200
Marshall County,0,N/S,202401290600,202401291200,202402051200
Thomas County,0,N/S,202401290600,202401291200,202402051200
Sioux County,0,N/S,202401290600,202401291200,202402051200
Dimmit County,0,N/S,202401290600,202401291200,202402051200
Fillmore County,0,N/S,202401290600,202401291200,202402051200
Chester County,0,N/S,202401290600,202401291200,202402051200
Lac qui Parle County,0,N/S,202401290600,202401291200,202402051200
Cache County,0,N/S,202401290600,202401291200,202402051200
Pierce County,0,N/S,202401290600,202401291200,202402051200
Charlton County,0,N/S,202401290600,202401291200,202402051200
Polk County,0,N/S,202401290600,202401291200,202402051200
McLean County,0,N/S,202401290600,202401291200,202402051200
Androscoggin County,0,N/S,202401290600,202401291200,202402051200
Kootenai County,0,N/S,202401290600,202401291200,202402051200
Clark County,0,N/S,202401290600,202401291200,202402051200
Phillips County,0,N/S,202401290600,202401291200,202402051200
Holt County,0,N/S,202401290600,202401291200,202402051200
Johnson County,0,N/S,202401290600,202401291200,202402051200
La Crosse County,0,N/S,202401290600,202401291200,202402051200
Caldwell Parish,0,N/S,202401290600,202401291200,202402051200
Edmonson County,0,N/S,202401290600,202401291200,202402051200
Bond County,0,N/S,202401290600,202401291200,202402051200
Brown County,0,N/S,202401290600,202401291200,202402051200
McLeod County,0,N/S,202401290600,202401291200,202402051200
Dunn County,0,N/S,202401290600,202401291200,202402051200
Custer County,0,N/S,202401290600,202401291200,202402051200
Madison County,0,N/S,202401290600,202401291200,202402051200
Nolan County,0,N/S,202401290600,202401291200,202402051200
Wayne County,0,N/S,202401290600,202401291200,202402051200
Saratoga County,0,N/S,202401290600,202401291200,202402051200
Brazos County,0,N/S,202401290600,202401291200,202402051200
Marshall County,0,N/S,202401290600,202401291200,202402051200
Allegany County,0,N/S,202401290600,202401291200,202402051200
Wetzel County,0,N/S,202401290600,202401291200,202402051200
Jackson County,0,N/S,202401290600,202401291200,202402051200
Clatsop County,0,N/S,202401290600,202401291200,202402051200
Lewis County,0,N/S,202401290600,202401291200,202402051200
Allegany County,0,N/S,202401290600,202401291200,202402051200
Cedar County,0,N/S,202401290600,202401291200,202402051200
Orange County,0,N/S,202401290600,202401291200,202402051200
DeKalb County,0,N/S,202401290600,202401291200,202402051200
Pickens County,0,N/S,202401290600,202401291200,202402051200
Chouteau County,0,N/S,202401290600,202401291200,202402051200
Brown County,0,N/S,202401290600,202401291200,202402051200
Campbell County,0,N/S,202401290600,202401291200,202402051200
Franklin County,0,N/S,202401290600,202401291200,202402051200
Baltimore city,0,N/S,202401290600,202401291200,202402051200
Lyon County,0,N/S,202401290600,202401291200,202402051200
Carroll County,0,N/S,202401290600,202401291200,202402051200
Tensas Parish,0,N/S,202401290600,202401291200,202402051200
Monroe County,0,N/S,202401290600,202401291200,202402051200
Hamilton County,0,N/S,202401290600,202401291200,202402051200
Pocahontas County,0,N/S,202401290600,202401291200,202402051200
Gem County,0,N/S,202401290600,202401291200,202402051200
Independence County,0,N/S,202401290600,202401291200,202402051200
Lonoke County,0,N/S,202401290600,202401291200,202402051200
Newton County,0,N/S,202401290600,202401291200,202402051200
Franklin County,0,N/S,202401290600,202401291200,202402051200
Hendry County,0,N/S,202401290600,202401291200,202402051200
Taliaferro County,0,N/S,202401290600,202401291200,202402051200
Jefferson County,0,N/S,202401290600,202401291200,202402051200
Meagher County,0,N/S,202401290600,202401291200,202402051200
La Plata County,0,N/S,202401290600,202401291200,202402051200
Bell County,0,N/S,202401290600,202401291200,202402051200
Kemper County,0,N/S,202401290600,202401291200,202402051200
Clark County,0,N/S,202401290600,202401291200,202402051200
Klamath County,0,N/S,202401290600,202401291200,202402051200
Oswego County,0,N/S,202401290600,202401291200,202402051200
Naranjito Municipio,0,N/S,202401290600,202401291200,202402051200
Cherokee County,0,N/S,202401290600,202401291200,202402051200
Bandera County,0,N/S,202401290600,202401291200,202402051200
Rosebud County,0,N/S,202401290600,202401291200,202402051200
Union County,0,N/S,202401290600,202401291200,202402051200
Schoolcraft County,0,N/S,202401290600,202401291200,202402051200
Ulster County,0,N/S,202401290600,202401291200,202402051200
Camden County,0,N/S,202401290600,202401291200,202402051200
Jersey County,0,N/S,202401290600,202401291200,202402051200
Hanover County,0,N/S,202401290600,202401291200,202402051200
Wallace County,0,N/S,202401290600,202401291200,202402051200
Alger County,0,N/S,202401290600,202401291200,202402051200
Fulton County,0,N/S,202401290600,202401291200,202402051200
Hidalgo County,0,N/S,202401290600,202401291200,202402051200
Robeson County,0,N/S,202401290600,202401291200,202402051200
Newaygo County,0,N/S,202401290600,202401291200,202402051200
Morrow County,0,N/S,202401290600,202401291200,202402051200
Todd County,0,N/S,202401290600,202401291200,202402051200
Logan County,0,N/S,202401290600,202401291200,202402051200
Lincoln County,0,N/S,202401290600,202401291200,202402051200
Miller County,0,N/S,202401290600,202401291200,202402051200
Orange County,0,N/S,202401290600,202401291200,202402051200
San Juan County,0,N/S,202401290600,202401291200,202402051200
Franklin County,0,N/S,202401290600,202401291200,202402051200
Carroll County,0,N/S,202401290600,202401291200,202402051200
Riley County,0,N/S,202401290600,202401291200,202402051200
Schleicher County,0,N/S,202401290600,202401291200,202402051200
Russell County,0,N/S,202401290600,202401291200,202402051200
Caldwell County,0,N/S,202401290600,202401291200,202402051200
Madison County,0,N/S,202401290600,202401291200,202402051200
Warrick County,0,N/S,202401290600,202401291200,202402051200
Adair County,0,N/S,202401290600,202401291200,202402051200
Gallatin County,0,N/S,202401290600,202401291200,202402051200
Harrison County,0,N/S,202401290600,202401291200,202402051200
Sagadahoc County,0,N/S,202401290600,202401291200,202402051200
Sweet Grass County,0,N/S,202401290600,202401291200,202402051200
Grayson County,0,N/S,202401290600,202401291200,202402051200
Greene County,0,N/S,202401290600,202401291200,202402051200
Northwest Arctic Borough,0,N/S,202401290600,202401291200,202402051200
Ellis County,0,N/S,202401290600,202401291200,202402051200
Hale County,0,N/S,202401290600,202401291200,202402051200
Perry County,0,N/S,202401290600,202401291200,202402051200
Colbert County,0,N/S,202401290600,202401291200,202402051200
Pratt County,0,N/S,202401290600,202401291200,202402051200
Bourbon County,0,N/S,202401290600,202401291200,202402051200
Rutherford County,0,N/S,202401290600,202401291200,202402051200
Cook County,0,N/S,202401290600,202401291200,202402051200
Lane County,0,N/S,202401290600,202401291200,202402051200
Harper County,0,N/S,202401290600,202401291200,202402051200
Piatt County,0,N/S,202401290600,202401291200,202402051200
Crosby County,0,N/S,202401290600,202401291200,202402051200
Fajardo Municipio,0,N/S,202401290600,202401291200,202402051200
Greene County,0,N/S,202401290600,202401291200,202402051200
Clark County,0,N/S,202401290600,202401291200,202402051200
Kossuth County,0,N/S,202401290600,202401291200,202402051200
Yabucoa Municipio,0,N/S,202401290600,202401291200,202402051200
Burke County,0,N/S,202401290600,202401291200,202402051200
Durham County,0,N/S,202401290600,202401291200,202402051200
Harrison County,0,N/S,202401290600,202401291200,202402051200
Keya Paha County,0,N/S,202401290600,202401291200,202402051200
Webster County,0,N/S,202401290600,202401291200,202402051200
Pope County,0,N/S,202401290600,202401291200,202402051200
Smith County,0,N/S,202401290600,202401291200,202402051200
Henry County,0,N/S,202401290600,202401291200,202402051200
Alexandria city,0,N/S,202401290600,202401291200,202402051200
Jefferson County,0,N/S,202401290600,202401291200,202402051200
Lewis and Clark County,0,N/S,202401290600,202401291200,202402051200
Duchesne County,0,N/S,202401290600,202401291200,202402051200
Alfalfa County,0,N/S,202401290600,202401291200,202402051200
Delta County,0,N/S,202401290600,202401291200,202402051200
Trousdale County,0,N/S,202401290600,202401291200,202402051200
Perry County,0,N/S,202401290600,202401291200,202402051200
Deuel County,0,N/S,202401290600,202401291200,202402051200
Jackson County,0,N/S,202401290600,202401291200,202402051200
Hormigueros Municipio,0,N/S,202401290600,202401291200,202402051200
Zavala County,0,N/S,202401290600,202401291200,202402051200
Banner County,0,N/S,202401290600,202401291200,202402051200
Madison County,0,N/S,202401290600,202401291200,202402051200
Broward County,0,N/S,202401290600,202401291200,202402051200
Toombs County,0,N/S,202401290600,202401291200,202402051200
Sanilac County,0,N/S,202401290600,202401291200,202402051200
Rockwall County,0,N/S,202401290600,202401291200,202402051200
Wayne County,0,N/S,202401290600,202401291200,202402051200
Nobles County,0,N/S,202401290600,202401291200,202402051200
Aitkin County,0,N/S,202401290600,202401291200,202402051200
Ramsey County,0,N/S,202401290600,202401291200,202402051200
Person County,0,N/S,202401290600,202401291200,202402051200
Trego County,0,N/S,202401290600,202401291200,202402051200
Washington County,0,N/S,202401290600,202401291200,202402051200
Eastland County,0,N/S,202401290600,202401291200,202402051200
Issaquena County,0,N/S,202401290600,202401291200,202402051200
DeWitt County,0,N/S,202401290600,202401291200,202402051200
Angelina County,0,N/S,202401290600,202401291200,202402051200
Saluda County,0,N/S,202401290600,202401291200,202402051200
Maries County,0,N/S,202401290600,202401291200,202402051200
Arkansas County,0,N/S,202401290600,202401291200,202402051200
Lawrence County,0,N/S,202401290600,202401291200,202402051200
Charlottesville city,0,N/S,202401290600,202401291200,202402051200
Bureau County,0,N/S,202401290600,202401291200,202402051200
Scioto County,0,N/S,202401290600,202401291200,202402051200
Madison County,0,N/S,202401290600,202401291200,202402051200
Jerome County,0,N/S,202401290600,202401291200,202402051200
Vinton County,0,N/S,202401290600,202401291200,202402051200
McLennan County,0,N/S,202401290600,202401291200,202402051200
Custer County,0,N/S,202401290600,202401291200,202402051200
Howard County,0,N/S,202401290600,202401291200,202402051200
Palm Beach County,0,N/S,202401290600,202401291200,202402051200
Lincoln County,0,N/S,202401290600,202401291200,202402051200
Butler County,0,N/S,202401290600,202401291200,202402051200
Sumner County,0,N/S,202401290600,202401291200,202402051200
King and Queen County,0,N/S,202401290600,202401291200,202402051200
Carroll County,0,N/S,202401290600,202401291200,202402051200
Waynesboro city,0,N/S,202401290600,202401291200,202402051200
Sitka City and Borough,0,N/S,202401290600,202401291200,202402051200
Multnomah County,0,N/S,202401290600,202401291200,202402051200
Grundy County,0,N/S,202401290600,202401291200,202402051200
Hubbard County,0,N/S,202401290600,202401291200,202402051200
Sargent County,0,N/S,202401290600,202401291200,202402051200
St. Lawrence County,0,N/S,202401290600,202401291200,202402051200
Reynolds County,0,N/S,202401290600,202401291200,202402051200
Sacramento County,0,N/S,202401290600,202401291200,202402051200
Paulding County,0,N/S,202401290600,202401291200,202402051200
Wells County,0,N/S,202401290600,202401291200,202402051200
Floyd County,0,N/S,202401290600,202401291200,202402051200
Santa Barbara County,0,N/S,202401290600,202401291200,202402051200
Boone County,0,N/S,202401290600,202401291200,202402051200
Benton County,0,N/S,202401290600,202401291200,202402051200
Crittenden County,0,N/S,202401290600,202401291200,202402051200
Palo Alto County,0,N/S,202401290600,202401291200,202402051200
Ringgold County,0,N/S,202401290600,202401291200,202402051200
Randolph County,0,N/S,202401290600,202401291200,202402051200
Cecil County,0,N/S,202401290600,202401291200,202402051200
Warren County,0,N/S,202401290600,202401291200,202402051200
Greeley County,0,N/S,202401290600,202401291200,202402051200
Jefferson County,0,N/S,202401290600,202401291200,202402051200
Saline County,0,N/S,202401290600,202401291200,202402051200
Knott County,0,N/S,202401290600,202401291200,202402051200
Clinton County,0,N/S,202401290600,202401291200,202402051200
Jackson County,0,N/S,202401290600,202401291200,202402051200
Dodge County,0,N/S,202401290600,202401291200,202402051200
Freeborn County,0,N/S,202401290600,202401291200,202402051200
Calaveras County,0,N/S,202401290600,202401291200,202402051200
Barnstable County,0,N/S,202401290600,202401291200,202402051200
Middlesex County,0,N/S,202401290600,202401291200,202402051200
Jefferson County,0,N/S,202401290600,202401291200,202402051200
Lake County,0,N/S,202401290600,202401291200,202402051200
Bedford County,0,N/S,202401290600,202401291200,202402051200
Clay County,0,N/S,202401290600,202401291200,202402051200
Coles County,0,N/S,202401290600,202401291200,202402051200
Lauderdale County,0,N/S,202401290600,202401291200,202402051200
Baker County,0,N/S,202401290600,202401291200,202402051200
Schuyler County,0,N/S,202401290600,202401291200,202402051200
Van Buren County,0,N/S,202401290600,202401291200,202402051200
Mercer County,0,N/S,202401290600,202401291200,202402051200
Lawrence County,0,N/S,202401290600,202401291200,202402051200
Morgan County,0,N/S,202401290600,202401291200,202402051200
Muhlenberg County,0,N/S,202401290600,202401291200,202402051200
Effingham County,0,N/S,202401290600,202401291200,202402051200
Loudon County,0,N/S,202401290600,202401291200,202402051200
Clark County,0,N/S,202401290600,202401291200,202402051200
Honolulu County,0,N/S,202401290600,202401291200,202402051200
Gilchrist County,0,N/S,202401290600,202401291200,202402051200
Tippecanoe County,0,N/S,202401290600,202401291200,202402051200
Snyder County,0,N/S,202401290600,202401291200,202402051200
Lamar County,0,N/S,202401290600,202401291200,202402051200
Miami-Dade County,0,N/S,202401290600,202401291200,202402051200
Dundy County,0,N/S,202401290600,202401291200,202402051200
Leon County,0,N/S,202401290600,202401291200,202402051200
Pitkin County,0,N/S,202401290600,202401291200,202402051200
Grand Forks County,0,N/S,202401290600,202401291200,202402051200
LaPorte County,0,N/S,202401290600,202401291200,202402051200
Hamilton County,0,N/S,202401290600,202401291200,202402051200
Emporia city,0,N/S,202401290600,202401291200,202402051200
Lincoln County,0,N/S,202401290600,202401291200,202402051200
Greeley County,0,N/S,202401290600,202401291200,202402051200
Harris County,0,N/S,202401290600,202401291200,202402051200
Screven County,0,N/S,202401290600,202401291200,202402051200
San Juan Municipio,0,N/S,202401290600,202401291200,202402051200
Stonewall County,0,N/S,202401290600,202401291200,202402051200
Henry County,0,N/S,202401290600,202401291200,202402051200
Grafton County,0,N/S,202401290600,202401291200,202402051200
Newton County,0,N/S,202401290600,202401291200,202402051200
Posey County,0,N/S,202401290600,202401291200,202402051200
McMullen County,0,N/S,202401290600,202401291200,202402051200
Cumberland County,0,N/S,202401290600,202401291200,202402051200
Walton County,0,N/S,202401290600,202401291200,202402051200
Pope County,0,N/S,202401290600,202401291200,202402051200
Rappahannock County,0,N/S,202401290600,202401291200,202402051200
Amherst County,0,N/S,202401290600,202401291200,202402051200
Ventura County,0,N/S,202401290600,202401291200,202402051200
Crawford County,0,N/S,202401290600,202401291200,202402051200
Park County,0,N/S,202401290600,202401291200,202402051200
Los Angeles County,0,N/S,202401290600,202401291200,202402051200
Yuma County,0,N/S,202401290600,202401291200,202402051200
Gordon County,0,N/S,202401290600,202401291200,202402051200
Calhoun County,0,N/S,202401290600,202401291200,202402051200
Highlands County,0,N/S,202401290600,202401291200,202402051200
Covington city,0,N/S,202401290600,202401291200,202402051200
Orange County,0,N/S,202401290600,202401291200,202402051200
McPherson County,0,N/S,202401290600,202401291200,202402051200
Pinal County,0,N/S,202401290600,202401291200,202402051200
Fulton County,0,N/S,202401290600,202401291200,202402051200
Alamosa County,0,N/S,202401290600,202401291200,202402051200
Citrus County,0,N/S,202401290600,202401291200,202402051200
Culebra Municipio,0,N/S,202401290600,202401291200,202402051200
Dorado Municipio,0,N/S,202401290600,202401291200,202402051200
DeKalb County,0,N/S,202401290600,202401291200,202402051200
Clarion County,0,N/S,202401290600,202401291200,202402051200
Miner County,0,N/S,202401290600,202401291200,202402051200
Jerauld County,0,N/S,202401290600,202401291200,202402051200
Decatur County,0,N/S,202401290600,202401291200,202402051200
Dubois County,0,N/S,202401290600,202401291200,202402051200
Essex County,0,N/S,202401290600,202401291200,202402051200
Williamsburg County,0,N/S,202401290600,202401291200,202402051200
Essex County,0,N/S,202401290600,202401291200,202402051200
Worth County,0,N/S,202401290600,202401291200,202402051200
Hughes County,0,N/S,202401290600,202401291200,202402051200
Buchanan County,0,N/S,202401290600,202401291200,202402051200
Alleghany County,0,N/S,202401290600,202401291200,202402051200
Lowndes County,0,N/S,202401290600,202401291200,202402051200
Scott County,0,N/S,202401290600,202401291200,202402051200
Prowers County,0,N/S,202401290600,202401291200,202402051200
Sutton County,0,N/S,202401290600,202401291200,202402051200
Sabana Grande Municipio,0,N/S,202401290600,202401291200,202402051200
Muskogee County,0,N/S,202401290600,202401291200,202402051200
Christian County,0,N/S,202401290600,202401291200,202402051200
Ciales Municipio,0,N/S,202401290600,202401291200,202402051200
Lamar County,0,N/S,202401290600,202401291200,202402051200
Ripley County,0,N/S,202401290600,202401291200,202402051200
Mercer County,0,N/S,202401290600,202401291200,202402051200
Hart County,0,N/S,202401290600,202401291200,202402051200
Jackson Parish,0,N/S,202401290600,202401291200,202402051200
Northumberland County,0,N/S,202401290600,202401291200,202402051200
Fort Bend County,0,N/S,202401290600,202401291200,202402051200
Green Lake County,0,N/S,202401290600,202401291200,202402051200
Pondera County,0,N/S,202401290600,202401291200,202402051200
Walworth County,0,N/S,202401290600,202401291200,202402051200
Mineral County,0,N/S,202401290600,202401291200,202402051200
Fulton County,0,N/S,202401290600,202401291200,202402051200
Suffolk County,0,N/S,202401290600,202401291200,202402051200
Union County,0,N/S,202401290600,202401291200,202402051200
McDonald County,0,N/S,202401290600,202401291200,202402051200
Scotts Bluff County,0,N/S,202401290600,202401291200,202402051200
San Miguel County,0,N/S,202401290600,202401291200,202402051200
Lee County,0,N/S,202401290600,202401291200,202402051200
Parker County,0,N/S,202401290600,202401291200,202402051200
Dickey County,0,N/S,202401290600,202401291200,202402051200
Barnes County,0,N/S,202401290600,202401291200,202402051200
Sibley County,0,N/S,202401290600,202401291200,202402051200
Upson County,0,N/S,202401290600,202401291200,202402051200
Sonoma County,0,N/S,202401290600,202401291200,202402051200
Chippewa County,0,N/S,202401290600,202401291200,202402051200
Bonneville County,0,N/S,202401290600,202401291200,202402051200
Barrow County,0,N/S,202401290600,202401291200,202402051200
Long County,0,N/S,202401290600,202401291200,202402051200
Kinney County,0,N/S,202401290600,202401291200,202402051200
Ottawa County,0,N/S,202401290600,202401291200,202402051200
Clearfield County,0,N/S,202401290600,202401291200,202402051200
Clinton County,0,N/S,202401290600,202401291200,202402051200
Santa Isabel Municipio,0,N/S,202401290600,202401291200,202402051200
Montgomery County,0,N/S,202401290600,202401291200,202402051200
Alcorn County,0,N/S,202401290600,202401291200,202402051200
Lafayette County,0,N/S,202401290600,202401291200,202402051200
Grant Parish,0,N/S,202401290600,202401291200,202402051200
Atchison County,0,N/S,202401290600,202401291200,202402051200
Macon County,0,N/S,202401290600,202401291200,202402051200
St. Joseph County,0,N/S,202401290600,202401291200,202402051200
Franklin County,0,N/S,202401290600,202401291200,202402051200
Garfield County,0,N/S,202401290600,202401291200,202402051200
Adams County,0,N/S,202401290600,202401291200,202402051200
Olmsted County,0,N/S,202401290600,202401291200,202402051200
Union County,0,N/S,202401290600,202401291200,202402051200
Trujillo Alto Municipio,0,N/S,202401290600,202401291200,202402051200
Mobile County,0,N/S,202401290600,202401291200,202402051200
McCook County,0,N/S,202401290600,202401291200,202402051200
Fayette County,0,N/S,202401290600,202401291200,202402051200
Chambers County,0,N/S,202401290600,202401291200,202402051200
Northampton County,0,N/S,202401290600,202401291200,202402051200
Moffat County,0,N/S,202401290600,202401291200,202402051200
Green County,0,N/S,202401290600,202401291200,202402051200
Franklin County,0,N/S,202401290600,202401291200,202402051200
Beaufort County,0,N/S,202401290600,202401291200,202402051200
Jayuya Municipio,0,N/S,202401290600,202401291200,202402051200
Burleigh County,0,N/S,202401290600,202401291200,202402051200
Rowan County,0,N/S,202401290600,202401291200,202402051200
Iron County,0,N/S,202401290600,202401291200,202402051200
Kandiyohi County,0,N/S,202401290600,202401291200,202402051200
Wolfe County,0,N/S,202401290600,202401291200,202402051200
Fayette County,0,N/S,202401290600,202401291200,202402051200
Lawrence County,0,N/S,202401290600,202401291200,202402051200
Washington County,0,N/S,202401290600,202401291200,202402051200
Briscoe County,0,N/S,202401290600,202401291200,202402051200
Ontonagon County,0,N/S,202401290600,202401291200,202402051200
Carroll County,0,N/S,202401290600,202401291200,202402051200
Benton County,0,N/S,202401290600,202401291200,202402051200
Rock County,0,N/S,202401290600,202401291200,202402051200
Indiana County,0,N/S,202401290600,202401291200,202402051200
Lincoln Parish,0,N/S,202401290600,202401291200,202402051200
Perry County,0,N/S,202401290600,202401291200,202402051200
Ziebach County,0,N/S,202401290600,202401291200,202402051200
Harrison County,0,N/S,202401290600,202401291200,202402051200
Baraga County,0,N/S,202401290600,202401291200,202402051200
Rogers County,0,N/S,202401290600,202401291200,202402051200
Boone County,0,N/S,202401290600,202401291200,202402051200
Mayagüez Municipio,0,N/S,202401290600,202401291200,202402051200
