NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,MODERATE,3.0
Sierra County,CA,EXTREME,5.0
Wallowa County,OR,MINOR,2.0
Saguache County,CO,MINOR,2.0
Rich County,UT,MODERATE,3.0
Lincoln County,WY,MODERATE,3.0
Pocahontas County,WV,LIMITED,1.0
Jefferson County,ID,MODERATE,3.0
Churchill County,NV,MODERATE,3.0
Crook County,OR,MINOR,2.0
Tioga County,PA,LIMITED,1.0
Fremont County,WY,MINOR,2.0
Musselshell County,MT,LIMITED,1.0
Walsh County,ND,MODERATE,3.0
Uinta County,WY,MODERATE,3.0
Humboldt County,NV,MODERATE,3.0
Clackamas County,OR,MODERATE,3.0
Sioux County,ND,MINOR,2.0
Cache County,UT,MAJOR,4.0
Kootenai County,ID,MINOR,2.0
Custer County,CO,MODERATE,3.0
Wayne County,PA,LIMITED,1.0
Saratoga County,NY,LIMITED,1.0
Clatsop County,OR,MINOR,2.0
Lewis County,WA,MODERATE,3.0
Chouteau County,MT,LIMITED,1.0
Gem County,ID,MINOR,2.0
Meagher County,MT,MINOR,2.0
La Plata County,CO,LIMITED,1.0
Klamath County,OR,MINOR,2.0
Rosebud County,MT,LIMITED,1.0
Ulster County,NY,LIMITED,1.0
Morrow County,OR,MINOR,2.0
San Juan County,CO,MODERATE,3.0
Franklin County,ID,MODERATE,3.0
Madison County,ID,MODERATE,3.0
Sweet Grass County,MT,LIMITED,1.0
Clark County,ID,MODERATE,3.0
Burke County,ND,MINOR,2.0
Lewis and Clark County,MT,LIMITED,1.0
Duchesne County,UT,MODERATE,3.0
Jackson County,OR,MAJOR,4.0
Ramsey County,ND,MODERATE,3.0
Jerome County,ID,MINOR,2.0
Custer County,ID,MINOR,2.0
Multnomah County,OR,MODERATE,3.0
Baker County,OR,MINOR,2.0
Pitkin County,CO,MODERATE,3.0
Grand Forks County,ND,MINOR,2.0
Grafton County,NH,LIMITED,1.0
Park County,CO,MODERATE,3.0
Alamosa County,CO,MINOR,2.0
Essex County,NY,LIMITED,1.0
Mercer County,ND,MINOR,2.0
Pondera County,MT,LIMITED,1.0
Mineral County,NV,MODERATE,3.0
Barnes County,ND,LIMITED,1.0
Bonneville County,ID,MAJOR,4.0
Garfield County,MT,LIMITED,1.0
Moffat County,CO,MODERATE,3.0
Burleigh County,ND,MINOR,2.0
Lawrence County,SD,LIMITED,1.0
Benton County,OR,MODERATE,3.0
Jefferson County,CO,LIMITED,1.0
Summit County,CO,MODERATE,3.0
Hamilton County,NY,LIMITED,1.0
Big Horn County,WY,LIMITED,1.0
Ward County,ND,MINOR,2.0
Bottineau County,ND,MODERATE,3.0
Hot Springs County,WY,LIMITED,1.0
Placer County,CA,EXTREME,5.0
Cameron County,PA,LIMITED,1.0
Idaho County,ID,MINOR,2.0
Davis County,UT,MODERATE,3.0
Teton County,ID,MAJOR,4.0
Power County,ID,MINOR,2.0
Washakie County,WY,LIMITED,1.0
Koochiching County,MN,LIMITED,1.0
Boulder County,CO,MINOR,2.0
Blaine County,ID,MINOR,2.0
Denver County,CO,LIMITED,1.0
Carter County,MT,LIMITED,1.0
Montrose County,CO,MODERATE,3.0
Eagle County,CO,MODERATE,3.0
San Miguel County,CO,MODERATE,3.0
Clay County,MN,LIMITED,1.0
Box Elder County,UT,MODERATE,3.0
Elmore County,ID,MINOR,2.0
Benson County,ND,MODERATE,3.0
Costilla County,CO,MINOR,2.0
Mariposa County,CA,MINOR,2.0
Marion County,OR,MODERATE,3.0
Broomfield County,CO,LIMITED,1.0
Benewah County,ID,MINOR,2.0
Lassen County,CA,MAJOR,4.0
Chaffee County,CO,MODERATE,3.0
Fremont County,CO,LIMITED,1.0
Stark County,ND,MINOR,2.0
Taos County,NM,LIMITED,1.0
Nye County,NV,MODERATE,3.0
Bowman County,ND,LIMITED,1.0
Nez Perce County,ID,MINOR,2.0
Greene County,NY,LIMITED,1.0
Converse County,WY,LIMITED,1.0
Herkimer County,NY,LIMITED,1.0
Logan County,ND,MODERATE,3.0
Becker County,MN,LIMITED,1.0
Emmons County,ND,MINOR,2.0
Shasta County,CA,MODERATE,3.0
Gallatin County,MT,MINOR,2.0
Norman County,MN,MINOR,2.0
Marshall County,MN,MINOR,2.0
Millard County,UT,MODERATE,3.0
Morgan County,UT,MAJOR,4.0
Liberty County,MT,LIMITED,1.0
Grant County,OR,MINOR,2.0
Coos County,OR,MODERATE,3.0
Warren County,NY,LIMITED,1.0
Sheridan County,ND,MINOR,2.0
Jefferson County,WA,MINOR,2.0
Clinton County,PA,LIMITED,1.0
Linn County,OR,MAJOR,4.0
Lake County,OR,MINOR,2.0
Traill County,ND,LIMITED,1.0
Vilas County,WI,LIMITED,1.0
Beltrami County,MN,LIMITED,1.0
McHenry County,ND,MINOR,2.0
LaMoure County,ND,LIMITED,1.0
Butte County,ID,MODERATE,3.0
Kidder County,ND,MINOR,2.0
Delta County,CO,MODERATE,3.0
Watauga County,NC,LIMITED,1.0
Weber County,UT,MAJOR,4.0
Nelson County,ND,MODERATE,3.0
Garfield County,CO,MODERATE,3.0
Trinity County,CA,MAJOR,4.0
Mendocino County,CA,MAJOR,4.0
Sweetwater County,WY,MINOR,2.0
Crook County,WY,LIMITED,1.0
Inyo County,CA,LIMITED,1.0
Wheeler County,OR,MINOR,2.0
Douglas County,NV,MAJOR,4.0
White Pine County,NV,MODERATE,3.0
Steele County,ND,MINOR,2.0
Avery County,NC,LIMITED,1.0
Berkshire County,MA,LIMITED,1.0
Rio Blanco County,CO,MODERATE,3.0
Malheur County,OR,MINOR,2.0
Adams County,ID,MINOR,2.0
Wells County,ND,MINOR,2.0
Mono County,CA,MAJOR,4.0
Tuolumne County,CA,EXTREME,5.0
Griggs County,ND,MINOR,2.0
Slope County,ND,MINOR,2.0
Washington County,NY,LIMITED,1.0
Langlade County,WI,LIMITED,1.0
Carson City,NV,MAJOR,4.0
Carbon County,WY,MODERATE,3.0
Silver Bow County,MT,LIMITED,1.0
Divide County,ND,MINOR,2.0
Montezuma County,CO,MINOR,2.0
Valley County,ID,MODERATE,3.0
Tillamook County,OR,MODERATE,3.0
McIntosh County,ND,LIMITED,1.0
Columbia County,WA,MINOR,2.0
Minidoka County,ID,MINOR,2.0
Sullivan County,PA,LIMITED,1.0
Lane County,OR,MODERATE,3.0
Cascade County,MT,LIMITED,1.0
Flathead County,MT,MINOR,2.0
Kittitas County,WA,MINOR,2.0
Kane County,UT,MODERATE,3.0
Union County,OR,MINOR,2.0
Adams County,ND,MINOR,2.0
Lackawanna County,PA,LIMITED,1.0
Wyoming County,PA,LIMITED,1.0
Mineral County,CO,MODERATE,3.0
Snohomish County,WA,MODERATE,3.0
Yakima County,WA,MINOR,2.0
Coconino County,AZ,LIMITED,1.0
Alpine County,CA,EXTREME,5.0
Okanogan County,WA,MODERATE,3.0
Spokane County,WA,MINOR,2.0
