NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,MAJOR,4.0
Sierra County,CA,EXTREME,5.0
Sauk County,WI,LIMITED,1.0
Wallowa County,OR,MINOR,2.0
Saguache County,CO,MODERATE,3.0
Rich County,UT,MODERATE,3.0
Lincoln County,WY,MAJOR,4.0
Pocahontas County,WV,LIMITED,1.0
Jefferson County,ID,MODERATE,3.0
Churchill County,NV,MODERATE,3.0
Crook County,OR,MINOR,2.0
Tioga County,PA,LIMITED,1.0
Fremont County,WY,LIMITED,1.0
Musselshell County,MT,LIMITED,1.0
Walsh County,ND,MINOR,2.0
Uinta County,WY,MODERATE,3.0
Humboldt County,NV,MODERATE,3.0
Clackamas County,OR,MODERATE,3.0
Sioux County,ND,LIMITED,1.0
Cache County,UT,MAJOR,4.0
Kootenai County,ID,MINOR,2.0
La Crosse County,WI,LIMITED,1.0
Custer County,CO,LIMITED,1.0
Wayne County,PA,LIMITED,1.0
Saratoga County,NY,LIMITED,1.0
Jackson County,WI,LIMITED,1.0
Clatsop County,OR,MINOR,2.0
Lewis County,WA,MAJOR,4.0
Chouteau County,MT,MINOR,2.0
Gem County,ID,MINOR,2.0
Meagher County,MT,MODERATE,3.0
La Plata County,CO,LIMITED,1.0
Klamath County,OR,MODERATE,3.0
Oswego County,NY,LIMITED,1.0
Rosebud County,MT,LIMITED,1.0
Ulster County,NY,LIMITED,1.0
Morrow County,OR,MINOR,2.0
San Juan County,CO,MODERATE,3.0
Franklin County,ID,MAJOR,4.0
Madison County,ID,MODERATE,3.0
Sweet Grass County,MT,MINOR,2.0
Clark County,ID,MODERATE,3.0
Burke County,ND,MINOR,2.0
Lewis and Clark County,MT,MODERATE,3.0
Duchesne County,UT,MODERATE,3.0
Jackson County,OR,MAJOR,4.0
Ramsey County,ND,MINOR,2.0
Jerome County,ID,MINOR,2.0
Custer County,ID,MODERATE,3.0
Multnomah County,OR,MINOR,2.0
Sargent County,ND,LIMITED,1.0
Reynolds County,MO,LIMITED,1.0
Baker County,OR,MINOR,2.0
Pitkin County,CO,MODERATE,3.0
Grand Forks County,ND,LIMITED,1.0
Park County,CO,MODERATE,3.0
Orange County,VT,LIMITED,1.0
Alamosa County,CO,LIMITED,1.0
Essex County,NY,MINOR,2.0
Mercer County,ND,LIMITED,1.0
Pondera County,MT,LIMITED,1.0
Mineral County,NV,MODERATE,3.0
Dickey County,ND,LIMITED,1.0
Barnes County,ND,LIMITED,1.0
Bonneville County,ID,MAJOR,4.0
Garfield County,MT,LIMITED,1.0
Moffat County,CO,MODERATE,3.0
Burleigh County,ND,LIMITED,1.0
Iron County,MI,LIMITED,1.0
Lawrence County,SD,LIMITED,1.0
Benton County,OR,MINOR,2.0
Jefferson County,CO,LIMITED,1.0
Summit County,CO,MODERATE,3.0
Hamilton County,NY,LIMITED,1.0
Big Horn County,WY,LIMITED,1.0
Ward County,ND,LIMITED,1.0
Worcester County,MA,LIMITED,1.0
Bottineau County,ND,MINOR,2.0
Hot Springs County,WY,LIMITED,1.0
Placer County,CA,EXTREME,5.0
Otsego County,NY,LIMITED,1.0
Idaho County,ID,MODERATE,3.0
Davis County,UT,MODERATE,3.0
Teton County,ID,MAJOR,4.0
Power County,ID,MODERATE,3.0
Washakie County,WY,LIMITED,1.0
Vernon County,WI,LIMITED,1.0
Iron County,MO,LIMITED,1.0
Boulder County,CO,LIMITED,1.0
Blaine County,ID,MODERATE,3.0
Carter County,MT,MINOR,2.0
Montrose County,CO,MINOR,2.0
Kenosha County,WI,LIMITED,1.0
Eagle County,CO,MODERATE,3.0
San Miguel County,CO,MINOR,2.0
Box Elder County,UT,MODERATE,3.0
Elmore County,ID,MINOR,2.0
Benson County,ND,LIMITED,1.0
Costilla County,CO,LIMITED,1.0
Mariposa County,CA,MINOR,2.0
Marion County,OR,MAJOR,4.0
Benewah County,ID,MINOR,2.0
Lassen County,CA,MAJOR,4.0
Chaffee County,CO,MODERATE,3.0
Fremont County,CO,LIMITED,1.0
Stark County,ND,LIMITED,1.0
Nye County,NV,MODERATE,3.0
Bowman County,ND,LIMITED,1.0
Nez Perce County,ID,MINOR,2.0
Washington County,MO,LIMITED,1.0
Greene County,NY,LIMITED,1.0
Herkimer County,NY,LIMITED,1.0
Logan County,ND,LIMITED,1.0
Emmons County,ND,LIMITED,1.0
Shasta County,CA,MODERATE,3.0
Gallatin County,MT,MODERATE,3.0
Norman County,MN,LIMITED,1.0
Marshall County,MN,LIMITED,1.0
Millard County,UT,MODERATE,3.0
Morgan County,UT,MODERATE,3.0
Liberty County,MT,MINOR,2.0
Grant County,OR,MINOR,2.0
Coos County,OR,MINOR,2.0
Warren County,NY,LIMITED,1.0
Sheridan County,ND,LIMITED,1.0
Jefferson County,WA,MODERATE,3.0
Montgomery County,MO,LIMITED,1.0
Clinton County,PA,LIMITED,1.0
Linn County,OR,MAJOR,4.0
Lake County,OR,MINOR,2.0
Essex County,VT,LIMITED,1.0
Traill County,ND,LIMITED,1.0
Beltrami County,MN,LIMITED,1.0
Rutland County,VT,LIMITED,1.0
McHenry County,ND,LIMITED,1.0
LaMoure County,ND,LIMITED,1.0
Butte County,ID,MODERATE,3.0
Coos County,NH,MINOR,2.0
Kidder County,ND,LIMITED,1.0
Delta County,CO,MODERATE,3.0
Watauga County,NC,LIMITED,1.0
Weber County,UT,MAJOR,4.0
Nelson County,ND,MINOR,2.0
Garfield County,CO,MODERATE,3.0
Trinity County,CA,EXTREME,5.0
Mendocino County,CA,MAJOR,4.0
Sweetwater County,WY,MINOR,2.0
Ozaukee County,WI,LIMITED,1.0
Crook County,WY,LIMITED,1.0
Wheeler County,OR,MINOR,2.0
Douglas County,NV,EXTREME,5.0
White Pine County,NV,MODERATE,3.0
Steele County,ND,LIMITED,1.0
Franklin County,MO,LIMITED,1.0
Avery County,NC,LIMITED,1.0
Berkshire County,MA,LIMITED,1.0
Rio Blanco County,CO,MODERATE,3.0
Malheur County,OR,MODERATE,3.0
Adams County,ID,MODERATE,3.0
Wells County,ND,LIMITED,1.0
Mono County,CA,MAJOR,4.0
Tuolumne County,CA,EXTREME,5.0
Griggs County,ND,LIMITED,1.0
Slope County,ND,LIMITED,1.0
Madison County,NY,LIMITED,1.0
Washington County,NY,LIMITED,1.0
Langlade County,WI,LIMITED,1.0
Carson City,NV,MAJOR,4.0
Carbon County,WY,MINOR,2.0
